id,text,label,label_name,source_file
pos_cv230_7428,"well , i'll admit when i first heard about this film ( which was before dante's peak ) i could just smell what 'twister' had started . 
so now it seems that we're in a full fledged return to the '70's disaster film era . 
with 'twister' , 'dante's peak' , 'volcano' and soon 'flood' and james cameron's extremly expensive 'titanic' 
i'll say first off i enjoyed 'volcano' much more than i did 'dantes peak' . 
part of that is just being biased as i usually enjoy anything that tommy lee jones appears in . 
i've been reading a lot about the movie being 'cheezy' or 'hokey' and really didn't see or think that once during the entire film . 
i get bored easily and this film didn't bore me for a minute . 
another thing , and boy am i bitching today ! , that bothers me is when critics and such go on about "" well thats not really possible . "" 
you know what ? 
i couldn't give a bloody damn if it's possible or not , really i couldn't . 
it's a freaking movie and i don't want reality thrown in my face . 
i want to be able to see the impossible , the all might "" what if "" to many reviewers have seen one to many movies ! 
the special effects are the second star to this feature . 
they are so amazing that i found it hard sometimes to believe they were indeed fx and la was was not burning to the ground . 
they did an incredible job and come oscar time ( if they remember ) some notice better be thrown there way .",1,positive,pos/cv230_7428.txt
pos_cv853_29233,"my summer was recently saved by two very different movies . 
on opening night , i saw american pie 2 and laughed like a moron . 
then a few nights later , i watched and thoroughly enjoyed joel hershman's greenfingers even though it didn't feature a trip to band camp , girl-on-girl action , or seann william scott . 
however , i felt just as good leaving american pie 2 as i did after leaving greenfingers , which tells the offbeat tale of british murderer colin briggs ( clive owen of croupier ) . 
after spending roughly half of his life behind bars , he is transferred to a more lenient facility , edgefield . 
the picaresque , rustic prison allows its inmates to learn a trade , while enjoying accommodations generally found at most colleges . 
at first , briggs doesn't want to be there . 
he's used to living as a prisoner and wants to be left alone . 
however , his ailing roommate , fergus ( david kelly of waking ned devine ) , wears briggs down through his benign nature . 
the two become friends , with fergus giving colin a packet of violet seeds as a christmas gift . 
briggs is astonished when the violets grow in the limestone soil , and begins a fight with three other prisoners when an errant soccer ball smashes his beloved flowers . 
after the prison's governor ( warren clarke ) reprimands them , he's awed at what briggs has accomplished . 
and he's struck by an idea -- briggs , fergus and the other men will grow a garden on the prison's grounds . 
greenfingers , which is "" inspired by actual events , "" becomes a bit like a sports movie after that . 
despite their differences , the men come together and through hard work and love earn a spot at the big game -- in this case a prestigious garden show . 
one renegade , in this case , briggs , will prove to have talent . 
of course , love will also rear its head ( no , not "" prison love "" ) . 
to hershman's credit , he doesn't pump up the drama or try for cheap laughs , like last year's lame marijuana comedy saving grace . 
i had to keep pinching myself when i didn't see a single scene of a hardened con sneezing over a pot of pansies , or the men giving high-fives over a particularly stunning batch of wildflowers . 
the movie deals with people and scores on that concept . 
it's wonderful seeing briggs turn from a bitter prisoner to a man who cares again . 
give credit to owen for keeping his cool in a part that begs for overacting . 
his speech to the parole board about being reborn through gardening is the best scene of its kind since morgan freeman's last stand in the shawshank redemption . 
owen's bedside scenes with kelly , who lends the film a human touch , are a marvel to behold , emotionally gripping without being sappy . 
written by hershman , greenfingers contains plenty of laughs . 
most come courtesy of helen mirren , who shines as the world-class gardener who works with the inmates but fears for her daughter primrose ( natasha little ) when she starts dating briggs . 
the mother can't believe what he'll do if her daughter "" burns the sunday roast . "" 
nothing is forced in greenfingers . 
the funny lines come forth naturally in conversations and not from punch lines . 
primrose and briggs' relationship takes awkward steps . 
even when briggs decides to go back to edgefield , it's done for reasons of loyalty , not because the movie requires him to do so . 
after grimacing through the forced screwball antics of movies like america's sweethearts and the princess dairies , it's an almost indescribable pleasure to see a director taking his time to tell a story very well .",1,positive,pos/cv853_29233.txt
pos_cv771_28665,"in october of 1962 the united states found itself on the brink of nuclear holocaust when u2 spy plane fly-overs of cuba revealed that the soviet union was actively deploying and installing medium range ballistic missiles 90 miles from the us . 
president john kennedy ( bruce greenwood ) and his staff must face this major threat to world peace and stop soviet expansionism in director roger donaldson's dramatic recreation of the most dangerous crisis in american history in "" thirteen days . "" 
one of the highlights to come out of made-for-tv movies was a 1974 entry called "" missiles of october "" that also recreated the historic event that almost embroiled the us , ussr and the world in an all out nuclear showdown . 
that teleplay , starring william devane and martin sheen as john and bobby , showed the political tensions of the period that brought to the fore the danger the world faced in those two weeks in 1962 . 
now , a quarter of a century after the landmark tv movie , director roger donaldson and producer kevin costner team together again ( the last time was for the taught spy thriller "" no way out "" ) to re-enact the events of that most dangerous time in america's and the world's history . 
taken from the viewpoint of special assistant to the president kenneth p . o'donnell ( costner ) , donaldson and crew recreate that volatile event , once again , as the country is plunged into what could have been total nuclear war . 
as o'donnell gets ready to head to work one october morning , he deals with the usual family crises and problems . 
meanwhile , a u2 spy plane photo mission over cuba has produced some startling images - medium range nuclear missiles in the first stage of deployment . 
suddenly , ken's routine day switches into crisis mode as the president and his key advisor bobby begin to muster the considerable forces of the us military to face the soviet threat . 
where "" thirteen days "" differs most from "" missiles of october "" is , as expected , in the scope of the project . 
there is a big difference , budget-wise , between making a television docudrama and one that goes to the big screen . 
it shows as the makers of "" thirteen days "" craft a recreation of the cuban missile crisis that encompasses not only the political intrigue within the white house , it also depicts the events that took place as america girds itself for nuclear confrontation . 
the cast , a true ensemble , is led , surprisingly , by bruce greenwood as jfk and not by kevin costner . 
costner's o'donnell represents the family guy thing as the drama of the crisis has its impact on him and his family . 
this puts a personal spin on the film as we see both the crisis and america's preparation for war and the pressure it brings to bear on those in the know . 
kenny reassures his wife and kids that all will be okay and they will be safe , but he knows that , if the crisis comes to a head , his family will be no more . 
the meat of "" thirteen days "" is in the big picture , not the microcosm of family , though . 
this is where the film stands out as we see the workings of our government on the highest levels . 
the story does not just cover the face-off between the world's two most powerful countries ; it also depicts the animosity between the president and the military/cia . 
the disaster of the bay of pigs invasion the year before left a distrustful taste in the mouths of the generals and admirals who blame the kennedys for not backing the cuban expatriates fighting fidel castro . 
the missile crisis becomes a struggle for power as the army/navy/air force want to flex their might and invade cuba , while jfk wants to end the confrontation peaceably but with america's dignity and world leadership intact . 
while the internal battle for power rages in the white house , with air force chief curtis lemay ( kevin conway ) advising the president to bomb cuba into the stone age , our armed forces are set into motion to stop the soviets with a blockade of offensive weapons to cuba . 
this is where the political intrigues of high office are replaced by exciting action . 
when the first confrontation takes place between a us warship and a soviet freighter , the tension is palpable . 
the most involving action sequence takes place late in the game as another u2 is sent up to shoot some snaps of the buildup and the fully prepared soviet forces launch an anti-aircraft attack on the hapless pilot of the spy plane . 
this is a sweaty palm sequence to say the least , making you squirm in your seat as you try to help the pilot avoid those missiles . 
the ensemble cast places greenwood as the first among equals with like weight given to all the principle players . 
greenwood does not play act at being a caricature of jfk , foregoing the typical kennedy boston accent . 
instead , he plays the man as a powerful figure who has to maintain the dignity of the office , directing his subordinates but giving them the latitude to make clear all of his options . 
kennedy used this decision by committee method to good effect as his senior staff uncovers all the options available to the president . 
costner , as ken o'donnell , is really a supporting cast member as a kennedy crony brought on board as a personal political favor . 
costner plays o'donnell as if he crammed on old jfk speeches with a forced kennedyesque twang to his speech . 
the rest of the players are first rate from start to finish with steven culp looking and sounding just like robert kennedy . 
the rest of the familiar players in this drama are uniformly well cast , too . 
standing out are michael fairman as the beleaguered us ambassador to the un , adlai stevenson , who was forced to become the challenging voice of the united states in the united nations and i remember the confrontation vividly . 
the filmmakers capture the accusations laid down by stevenson with accuracy , using old style video footage to good effect . 
dylan baker has the look and feel of the intelligentsia as the brainy secretary of defense robert mcnamara . 
kevin conway gives his general lemay the right "" bomb them to hell "" attitude . 
also notable is christopher lawford as navy pilot william ecker who , with his wingman , takes on the dangerous mission of a low-level photo recon into the heart of cuba , bravely challenging kenny o'donnell's admonition , "" don' get shot . "" 
tech credits are superb across the board with an admirable depiction of the us armed forces being placed on a war footing . 
it's an impressive production with the careful use of period aircraft and ships that gives the film a veracity fitting the event . 
solid costuming by isis mussenden is subtle but has the look of the kennedys . 
there is the usual array of vintage cars from the period to make things look right . 
the special f/x of the u2 sequences are a nice crafting of computer imaging . 
the cuban missile crisis is probably the most intense two weeks that the united states has ever faced in its survival as a world leader . 
helmer donaldson and his fine crew and cast have given the depiction of this crucial event with the care and attention to details that make this one of the finest docudramas of the year . 
i give "" thirteen days "" an a- .",1,positive,pos/cv771_28665.txt
pos_cv449_8785,"this is a good year if you want plenty of sci-fi on your multiplex . 
>from the comedies mars attacks and men in black , to luc besson's powerful the fifth element , and to this , sci-fi/horror that is event horizon . 
 ( more is on the way with contact and alien : ressurection being released later this year . ) 
the story is thus : in 2040 an explorer ship called the event horizon tests out a newly invented gravity drive . 
a device that enables a craft to travel anywhere in the universe , instantaneously . 
this is achieved by creating a gateway , infact , a black hole , between the craft and it's required destination . 
in this case , from near neptune to proxima prime . 
however , when the event horizon attempts this , it dissappears , without trace , leaving two searches for it fruitless . 
seven years later , it reappears , transmitting a distress signal and this is where the film starts . 
a search and rescue ship is sent out to investigate . 
the team is led by laurence fishburne , and joining them is sam neill who plays the scientist that invented the gravity drive . 
as the team search the event horizon , they find no trace of the crew but plenty of blood lying around . 
not a good sign . . . 
to make matters worse , as they search the ship , they find themselves being subjected to a series of illusions based on their own individual inner secrets and worse , some very bloody events start to occur as they slowly piece together the events that transpired on the ship seven years ago . 
it soon becomes apparent that , wherever the ship went , it bought something back with it . 
something very , very evil . . . 
the first thing you'll notice in this film is it's incredible visual effects . 
they really are eye popping , with some great models to boot . 
the acting is quite good , with some occasional witty moments . 
sam neill does a good job as the scientist that increasingly becomes more and more disturbed as the search continues , but a tip of the hat goes to laurence fishburne who leads the team , in a cool , calm , take no nonense manner . 
it is his acting skills that help hold this film together . 
the idea behind event horizon is certainly a good one . 
it starts off incredibly well , but the middle section becomes quite confused and sometimes muddled , leaving the viewer unsure on just what the reasons are behind some of the bloody and bizarre events that occur . 
however , the closing 20 minutes of the film more than make up for this , producing one the most nail biting ( or in my case , straw of my drink biting ! ) 
climaxes i've recently witnessed . 
overall , event horizon is a smart film indeed . 
it's very enjoyable and has some amazing visuals . 
but be warned , the horror scenes , despite being very brief are very , very , gory . 
not for the squemish !",1,positive,pos/cv449_8785.txt
pos_cv130_17083,"while watching wes anderson's rushmore , it may be surprising to think that the role of max fischer , the film's anti-hero , was not written with jason schwartzman in mind . 
the young actor , making his film debut as a 15 year old student at the exclusive rushmore academy is so perfect in the role that it comes as a shock that anderson auditioned some two thousand other prospective stars before discovering schwarztman . 
schwartzman plays max , a student who is more interested in his extra-curricular activities ( such as writing edgy plays like "" serpico "" and being president of the rushmore beekeepers ) but sees his grades suffer as a result . 
on the brink of being thrown out , he lands himself in even more hot water when he falls for first grade teacher rosemary cross ( olivia williams ) and enlists the help of millionaire acquaintance herman blume ( the great bill murray ) to build an aquarium ( on rushmore's baseball field ) in her honour . 
unfortunately for everyone involved , blume finds that he has feelings for miss cross as well , which gets in the way of max's plans to woo her . 
max is one of the best-written characters we've yet seen in the 90s , and schwartzman plays him to perfection in one of the finest comedy performances ever given by someone of his age . 
as everyone else has probably already pointed out , he is reminiscent of a young dustin hoffman ( although i was reminded more of paul from "" the wonder years "" , from a visual standpoint , at least ) . 
hopefully , if he avoids typecasting as weird , quirky loner-types he should earn himself a good career . 
bill murray is his equal as blume , displaying a depth we haven't yet seen from him . 
while this isn't his best performance ( that honour goes to groundhog day ) he is still terrific here . 
williams isn't given much to do except react to schwartzman and murray , but still does fine work . 
rushmore seems to go just a little too long but , while it isn't a perfect film , it is a definate must-see for anyone who wants to see that rarity , an american coming-of-age film that actually works well without an excessive amount of sentimentality . 
anderson has created a modern classic with a star who should , with any luck , rise to even greater success .",1,positive,pos/cv130_17083.txt
pos_cv340_13287,"why do people hate the spice girls ? 
 ? what exactly have they done wrong , other than perhaps offend the fashion police ? 
 ? so what if they are not "" great "" singers---they ain't singing opera , folks , its pop music ! 
 ? who exactly is a "" great "" singer ? 
judging by that opening paragraph it is obvious that i like the spice girls . 
 ? they do what they do--sing some catchy tunes--and they do it pretty well . 
 ? they are able to carry that into their first film , "" spice world "" . 
 ? "" spice world "" certainly isn't a great filmgoing experience . 
 . 
 . 
what it is what the spice girls are all about : fun , songs , and a lot of "" girl power ! "" 
drawing from a number of different films ( like the beatles' "" hard day's night "" ) "" spice world "" chronicles the week heading up to the girls' first concert at london's albert hall . 
 ? they get to tool around london in a big ol' bus ( driven by meat loaf ! ) and generally have fun . 
 ? in order to through a semblence of plot into the film , there is an evil tabloid publisher played by barry humphries , better known to americans , for about 15 minutes , as dame edna ( remember her ? ) 
 ? he wants to sabotage the girls' concert so he can sell papers . 
of course , the point in a movie like "" spice world "" isn't plot . 
 ? the center of the film is the spice girls themselves : ginger ( the recently departed geri haliwell ) , posh ( victoria adams ) , sporty ( melanie chisolm ) , scary ( melanie brown ) , and baby ( emma bunton ) . 
 ? each one has their own personality and , perhaps the best part of the film , look like they are having some honest-to-goodness fun , something that can't be said for a lot of people in films today . 
along for the ride are richard e . grant as their manager , clifford , and various other characters making quick cameo appearances ( including teriffic british actors like richard briers and stephen fry ) . 
 ? and , every once and a while , roger moore pops up as the chief to spout odd koans ( added bonus : he gets to , in the words of craig kilborn , dance , dance , dance . ) 
watching this film was fun , for the most part . 
 ? there are a few slow segments , but overly , director bob spiers keeps things moving at a quick pace , with plenty of hummable spice girls songs in the background . 
 ? his camerawork is fairly pedestrian , though the final concert number is done quite well with effective use of editing . 
 ? 
the look of the film promotes the high fun , with the design of the spicebus being quite original and eye-catching . 
 ? add in wall-to-wall spice girls music and this film is lovable romp . 
 ? if you don't like the spice girls , you won't change your mind with this film . 
 ? but , if you find them at least tolerable , get ready to sit back and chill because the spice girls are here to entertain you . 
 . 
 . 
and do it quite well . 
 ? 
 "" spice world "" ( 1998 ) . 
 ? directed by bob spiers . 
 ? written by kim fuller . 
 ? music by the spice girls . 
 ? with geri halliwell , victoria adams , melanie chisolm , melanie brown , emma bunton , richard e . grant , claire rushbrook , roger moore . 
 ? distributed by columbia pictures . 
 ? running time : 92 minutes . 
 ? rated : pg . 
 ? available on home video . 
---- 29 june 1998",1,positive,pos/cv340_13287.txt
neg_cv392_12238,"i was recently told that in china their had been strong protests against the release of red corner  and this is apparently because of the way it shows the injustice of many chinese laws . 
but if you ask me , the real truth of the matter is that the chinese critics association were determined not to punish the population into viewing richard gere running across rooftops in search for a fellow american . 
or more the point , anyone that allows him to bask in his own less-than-subtle presence . 
this is not an insult to gere , as i consider him to be a rather talented actor  but more the choice of character and responsibility of his role . 
if a film is solely about one person , the main actor must give a faultless performance in order for it to really work . 
although geres performance is in no way poorly acted , it is far from perfect  and i look forward to seeing him star with other talented actors that can reduce the need for him to carry a film by himself . 
this is where he truly belongs , and if you are reluctant to believe me than look no further that primal fear ( with the sensational edward norton ) , the jackal ( with bruce willis ) and pretty woman ( with the delightful julia roberts ) . 
in red corner gere plays classy lawyer jack moore , who is guilty of the same personality traits as his character martin vail in primal fear  bold and up front , who thinks he is three steps ahead of everybody else but is actually two steps behind . 
it is with invulnerability of both mental and physical kind that the character of moore is portrayed , which left me barracking for the chinese to haul his sorry ass into jail . 
it doesnt take long from the films beginning for jack moores charm to work on a pretty chinese lady , and in no time they are in bed together in a hotel room  drunk and cheerful . 
yet instead of a hangover , poor jack finds himself covered in blood and the chinese chick dead on a couch . 
he is arrested and hauled into a chinese prison . 
his cell , food and rights  all terrible . 
now trapped in a foreign land without adequate aid from the american embassy , lawyer shen yuelin ( bai ling ) defends his case by initially pleading guilty to the charge of murder . 
jack and shen argue about their countries different laws ; shen stating that they will shoot you in the back and charge the cost of the bullet to your family .  
as the plot thickens , scenes get progressively more ridiculous  ranging from richard gere running over rooftops in search of the us embassy to a scooby doo ending where the least expected but-you-knew-along criminal is discovered . 
red corner is one of those films where you sneer , laugh or vomit youre way through all of its minutes . 
what should have been a politically taunt thriller is little more than a pointless expedition to see how stressed out richard gere can act . 
this is not to say that the film does not have its moments  there are some tense court room scenes that are shrewdly created  telling the tale of foreign injustice and government corruption . 
but what they amount to spoils the effect of having them in the first place  perhaps this is why red corner is so frustrating to watch . 
if you look at the films overall concept fairly broadly , the basic idea is quite tangible . 
it is upon the films execution where the diminutive plot twists and developments fail to impress or innovate - the evidence that goes missing , the high powered officials shielding the truth and intolerable love angles have all been done so many times before . 
if that wasnt bad enough , red corners dialogue is purely laughable on many occasions . 
shen yuelin attempts to gain sympathy by reciting renaissance of a destitute relationship with her deceased father , whilst jack moore is eager to talk about chinese musical instruments when he could have been working on a plan to free himself . 
taking itself far too seriously , red corner is not half the film it intends to be . 
although it would have benefited from the help of a more valuable supporting cast , the films main fault is in the bizarre ( and often out of place ) way of unfolding a story which isnt that meritorious anyway . 
whilst richard gere still proves that has what it takes to be known as a decent actor , i would think twice before going to see him attempt to manage such a serious yet hollow drama again . 
martin vailwhere are you ?",0,negative,neg/cv392_12238.txt
pos_cv422_9381,"billed as a "" feminist sex fantasy "" , this spirited , imaginative and thoroughly engaging film by the award-winning canadian director cynthia roberts , is destined for extreme reactions . 
camille paglia enthusiasts will no doubt champion this heart-felt tale of the title character bubbles galore ( nina hartley ) , a porn-actress-turned-porn-producer who faces an uphill battle in her quest for sexual and economic independence . 
however , those in the andrea dworkin camp , will no doubt loathe the film's decidedly pro-porn stance . 
political considerations aside , however , this is a delightful lesbian love story as the film takes us on a whirlwind tour of bubbles' romantic entanglements with a naive and virginal young porn starlet dory drawers ( shauny sexton ) . 
in the backdrop , however is bubbles' loyal assistant vivian klitorsky ( tracy wright ) who pines longingly for the affections of her bubbly boss . 
this femme-butch-femme triangle is what provides the film with considerable humanity * and * sensuality . 
in addition to the romantic aspects of the story , bubbles is being stalked and terrorized by her ex-boyfriend godfrey montana ( daniel macivor ) , a slimy porn mogul who wishes to make her life as miserable as he can possibly make it . 
when his plans to sabotage her latest film fall through , he snaps and psychotically decides to kill her . 
these proceedings are presided over by a most heavenly presence . 
god herself - yes , in the world of this film , god , is most definitely a "" her "" - and a chorus of undulating , scantily-clad angels , have their most watchful and lustful eyes on the events as they unfold , adding a lovely fantasy element to this frothy concoction . 
this bright , colourful and deliriously sexy film is chock-full of great performances . 
making her dramatic debut , after appearing in over 300 triple x adult films , porn star nina hartley takes command of her role with considerable assurance and a screen presence which puts many other contemporary 'straight' actresses to shame . 
hartley has overwhelming star power , and one wonders why other non-triple-x producers haven't used her bountiful talents . 
it is also interesting to note that hartley appears in the recent release of "" boogie nights "" , a film which takes a far more traditional doom-and-gloom approach to the porn industry . 
making a cameo appearance in the role of god , former porn actress annie sprinkle , a true artist in her own right - gives the entire film an earthy , sensual glow and certainly solidifies and , by her very appearance , downright justifies the themes of the movie . 
the other performances are equally solid . 
daniel macivor appropriately chews up the scenery as the villainous godfrey and tracy wright lends able support with her complex role . 
shauny sexton , an erotic dancer and pin-up model , makes an impressive screen debut . 
overall , bubbles galore is a film which wears its politics on its sleeve and very proudly indeed . 
at one point , the title character declares that "" instead of trying to save women from the sex trade , we should be working to ensure that the sex trade is a safe place for women to work "" . 
the direction by cynthia roberts is daring and subversive . 
roberts is not afraid to plunge the otherwise straight-ahead and simple narrative into extended and extremely avant-garde montage sequences . 
the love scenes between the women are especially beautiful . 
the musical score by nicholas stirling blends cool jazz and lounge stylings , while the skilful cinematography by harald bachmann terrifically captures a blend of garish 70's porn and psychedelia . 
amazingly , this film appears to have received a good deal of its funding from a variety of canadian government cultural agencies . 
this speaks volumes towards the importance of state funding for culture , as one cannot imagine such an entertaining , original and vital film being made in a traditional setting where conformity and formula rule the day . 
bubbles galore seems to be making the film festival rounds and does not , at present , appear to have any traditional distribution in place , so keep your eye on the alternative film listings for this one . 
it's funny , sexy and subversive . 
and it shouldn't be missed .",1,positive,pos/cv422_9381.txt
pos_cv117_24295,"just look back two years ago at the coen brothers' comedic gem the big lebowski , change the actors , take away the bowling alley , add a record store , and you've got high fidelity ( or maybe the other way around since nick hornby's novel high fidelity came first ) . 
either way , it's been done before , a trio of losers cracking jokes and complaining about their failed romances , yet it remains consistently funny . 
why is this ? 
maybe because you know your life is much better than this , you know these guys are more pathetic than you are , and you know its ok to laugh at them because they're fictional . 
director stephen frears , possibly not intentionally , has created a movie that makes you feel good about yourself and even that ostensibly no good uncle who watches television twenty four hours a day . 
when watching high fidelity , expect to laugh at someone else's pain , realize what you are laughing at , and then laugh again . 
i laughed at dick ( todd louiso ) , the shy , timorous , steve buscemi character of lebowski , who seems to know what he is talking about but either can't put it into words or is harshly rejected by his friends . 
i laughed at the john goodman character barry ( jack black ) , an exact replica of the comic bookstore owner on the simpsons , pudgy , egotistic , and obnoxious at the same time . 
and i laughed at rob ( john cusack ) , the jeff bridges type , whom the story revolves around . 
rob is the character easiest to relate to , but he is nothing like you at all . 
he uncontrollably cheats and lies , then is unable to realize why he can not hold onto a woman . 
and like his other miserable friends , pop music is where he inevitably goes for comfort . 
he spends the afternoons at his job quizzing his coworkers with obscure trivia or listening to new music and either deriding it or praising it . 
whatever human emotions the clash , aretha franklin , and bruce springsteen records hold , rob and co . 
grasp them and help fill voids in their social lives . 
rob has built an extensive collection in his record store as well as his home and he organizes them depending on what mood he is in . 
during this confused stage of his life in which the movie focuses on , rob is trying to cope with numerous rejections over the years by visiting past girlfriends and eventually asking why they dumped him . 
but these aren't any girlfriends ? these girls made the all time top five break ups in the history of rob ( rob's incessant use of lists show how pop music has played a major role in his life ) . 
the plot in three words is : women and music . 
the approach director stephen frears takes by having the charismatic rob speak directly to the camera is very effective . 
it gives high fidelity a quickly paced , informal structure , adjectives which perfectly parallel rob's own lifestyle . 
it also helps open the viewer's eyes as to how annoying barry is . 
jack black steals the show with a hilariously realistic performance as a total sleaze ball . 
just listening to him speak for five minutes makes the audience immediately sympathetic for rob , who must work with him every day of the week . 
what frears does so well is that he makes us feel sorry for rob while laughing at his misfortunes . 
john cusack plays his character convincingly but it is the strong supporting cast , consisting of big stars and character actors , that really defines rob . 
now instead of rob just talking to the camera , after he explains something , the remaining cast members physically and humorously create what he is trying to say . 
the only problem with high fidelity is that it doesn't end when it should have ended . 
instead the movie goes on for a torturous twenty minutes that seem a lot longer than that . 
also bruce springsteen is completely wasted in a brief cameo halfway through the movie . 
high fidelity is a cheerful , old fashioned comedy with a voluminous soundtrack and as many laughs . 
i just hope hollywood keeps creating losers on the big screen , they make everyone look and feel great .",1,positive,pos/cv117_24295.txt
pos_cv775_16237,"in these days of overlong movies ( meet joe black , the thin red line , the mask of zorro ) it is a shame that films like waking ned devine can't be longer than a paltry 90 minutes . 
this is just a cute movie , even through its mildly risque subject matter . 
old friends jackie ( bannen ) and michael ( kelley ) try to find the lottery winner ( they deduce must live in their dinky town of about 60 ) so that they might kiss up to him and share the winnings . 
through process of elimination , they find that it must be lovable old ned devine , who they find sitting in front of his tv , clutching the winning lottery ticket in his cold dead hand . 
what results is thuroughly amusing , as jackie tries to convince his wife that not claiming it would be wrong , and that they could really benefit . 
after all , old ned won't miss it . 
rather than divulge the later twists and turns , i'll stop here merely pointing out that jackie and michael get into all sorts of trouble in their little sleepy irish villiage . 
bannen and kelly are a perfect pair . 
one slightly stout , the other as thin as a rail . 
both getting on in years , they make such a cute pair of old codgers . 
waking ned devine may even be seen as a "" full monty "" for the geriatric set , especially since kelly gets buff-o for one amusing scene . 
waking ned devine is by no means perfect , but it is so sincere and touching that it looks so much better than most films . 
the performances by everyone in the town are great , particularly the two leads . 
there is one twist at the end which i find unnecessary , but it hardly ruins the picture . 
writer/director kirk jones should be held up as an example to all those hollywood screenwriters . 
scripts as creative and endearing as this should be the norm , not the exception . 
perhaps it makes us appreciate this wonderful film even more . 
had i held off on my year's best/worst list for another day , waking ned devine ( officially released in late november of 98 ) surely would have graced the short group of the year's finest films . 
it is light , but thought provoking and sweet . 
i can't think of anyone who shouldn't see ( or wouldn't enjoy ) this film .",1,positive,pos/cv775_16237.txt
